Epoch, Log-likelihood, Accuracy, RMSE
1, -0.72171,  0.42645,  132.66906
2, -0.72345,  0.42775,  127.92479
3, -0.72557,  0.42983,  123.50886
4, -0.72014,  0.43773,  120.83504
5, -0.72027,  0.42995,  118.73921
6, -0.72916,  0.42871,  116.99901
7, -0.72445,  0.42881,  117.17292
8, -0.72029,  0.42911,  114.33296
9, -0.72152,  0.42986,  114.41894
10, -0.71942,  0.42874,  113.85475
11, -0.71592,  0.42895,  113.38341
12, -0.71778,  0.42898,  113.75551
13, -0.71374,  0.42982,  112.28841
14, -0.71368,  0.42880,  112.82375
15, -0.71096,  0.42947,  112.95981
16, -0.71289,  0.42884,  114.40668
17, -0.71130,  0.42881,  110.88348
18, -0.70894,  0.42880,  110.83500
19, -0.70845,  0.42884,  111.06672
20, -0.70527,  0.42941,  112.66850
21, -0.70371,  0.42882,  110.17690
22, -0.70548,  0.42878,  110.60240
23, -0.70273,  0.42886,  111.17260
24, -0.70224,  0.42882,  110.54298
25, -0.69934,  0.42922,  110.19549
26, -0.69808,  0.42927,  111.36524
27, -0.70126,  0.42880,  111.27817
28, -0.70048,  0.42927,  112.65445
29, -0.69899,  0.42885,  110.55333
30, -0.69923,  0.42882,  110.87014
