Epoch, Log-likelihood, Accuracy, RMSE
1, -0.74250,  0.44878,  138.69449
2, -0.72296,  0.44964,  137.30638
3, -0.69782,  0.44996,  135.59728
4, -0.68771,  0.45008,  133.56010
5, -0.68615,  0.45033,  131.40247
6, -0.67884,  0.45063,  129.48064
7, -0.67739,  0.44932,  127.40348
8, -0.68002,  0.44926,  125.48724
9, -0.66450,  0.45056,  122.80639
10, -0.66965,  0.45036,  121.56189
11, -0.65542,  0.45098,  119.84490
12, -0.65368,  0.45052,  119.01982
13, -0.67001,  0.44994,  119.15049
14, -0.65233,  0.45046,  117.41541
15, -0.65708,  0.45063,  116.97378
16, -0.65480,  0.45092,  116.19502
17, -0.65245,  0.45025,  115.45105
18, -0.65295,  0.45117,  114.81382
19, -0.65218,  0.45070,  114.32536
20, -0.65285,  0.45030,  113.92556
21, -0.65165,  0.45122,  113.52961
22, -0.65118,  0.45068,  113.35496
23, -0.65096,  0.44989,  113.15363
24, -0.65504,  0.45008,  113.33608
25, -0.65212,  0.44988,  112.97738
26, -0.65086,  0.44992,  112.80025
27, -0.65229,  0.45030,  112.39615
28, -0.65196,  0.45046,  112.41463
29, -0.65204,  0.44952,  112.40746
30, -0.65626,  0.44962,  112.55768
